warmup,run_id,message_id,source_row_id,source_timestamp_utc,client_started_at_utc,client_ended_at_utc,http_status,contract_ok,deadline_met,end_to_end_ms,server_processing_ms,storage_write_ms,client_network_overhead_ms,request_bytes,response_bytes,function_version,azure_received_at_utc,azure_persisted_at_utc,error
True,azure-live-20260802T165654Z,msg-00000,historical:000000,2026-05-19T17:10:55.418478500+00:00,2026-08-02T16:56:54.964+00:00,2026-08-02T16:56:55.587+00:00,200,True,True,622.974,232.828,228.065,390.146,527,614,v3.0-azure-live-replay,2026-08-02T16:56:55.352Z,2026-08-02T16:56:55.585Z,
True,azure-live-20260802T165654Z,msg-00001,historical:000451,2026-05-19T18:09:38.013511600+00:00,2026-08-02T16:56:55.588+00:00,2026-08-02T16:56:55.646+00:00,200,True,True,57.575,10.785,10.272,46.79,551,612,v3.0-azure-live-replay,2026-08-02T16:56:55.761Z,2026-08-02T16:56:55.772Z,
True,azure-live-20260802T165654Z,msg-00002,historical:000903,2026-05-19T18:38:06.186868200+00:00,2026-08-02T16:56:55.647+00:00,2026-08-02T16:56:55.702+00:00,200,True,True,55.062,8.993,8.421,46.069,551,610,v3.0-azure-live-replay,2026-08-02T16:56:55.824Z,2026-08-02T16:56:55.832Z,
True,azure-live-20260802T165654Z,msg-00003,historical:001355,2026-05-19T19:05:45.290677400+00:00,2026-08-02T16:56:55.703+00:00,2026-08-02T16:56:55.754+00:00,200,True,True,50.952,12.589,12.191,38.363,555,612,v3.0-azure-live-replay,2026-08-02T16:56:55.872Z,2026-08-02T16:56:55.885Z,
True,azure-live-20260802T165654Z,msg-00004,historical:001807,2026-05-19T19:35:07.386381400+00:00,2026-08-02T16:56:55.755+00:00,2026-08-02T16:56:55.803+00:00,200,True,True,47.477,8.572,8.195,38.905,555,610,v3.0-azure-live-replay,2026-08-02T16:56:55.924Z,2026-08-02T16:56:55.933Z,
False,azure-live-20260802T165654Z,msg-00005,historical:002258,2026-05-19T20:06:37.957359800+00:00,2026-08-02T16:56:55.804+00:00,2026-08-02T16:56:55.851+00:00,200,True,True,47.101,8.412,8.069,38.689,555,610,v3.0-azure-live-replay,2026-08-02T16:56:55.973Z,2026-08-02T16:56:55.982Z,
False,azure-live-20260802T165654Z,msg-00006,historical:002710,2026-05-19T20:35:17.129689200+00:00,2026-08-02T16:56:55.852+00:00,2026-08-02T16:56:55.904+00:00,200,True,True,51.483,10.985,10.461,40.498,555,612,v3.0-azure-live-replay,2026-08-02T16:56:56.022Z,2026-08-02T16:56:56.033Z,
False,azure-live-20260802T165654Z,msg-00007,historical:003162,2026-05-19T21:03:25.804200700+00:00,2026-08-02T16:56:55.904+00:00,2026-08-02T16:56:55.953+00:00,200,True,True,48.576,9.574,9.13,39.002,555,609,v3.0-azure-live-replay,2026-08-02T16:56:56.074Z,2026-08-02T16:56:56.084Z,
False,azure-live-20260802T165654Z,msg-00008,historical:003614,2026-05-19T21:31:05.556129600+00:00,2026-08-02T16:56:55.954+00:00,2026-08-02T16:56:56.004+00:00,200,True,True,50.01,9.189,8.4,40.821,555,608,v3.0-azure-live-replay,2026-08-02T16:56:56.125Z,2026-08-02T16:56:56.135Z,
False,azure-live-20260802T165654Z,msg-00009,historical:004065,2026-05-19T21:59:10.875050700+00:00,2026-08-02T16:56:56.005+00:00,2026-08-02T16:56:56.058+00:00,200,True,True,53.056,9.908,9.331,43.148,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.177Z,2026-08-02T16:56:56.187Z,
False,azure-live-20260802T165654Z,msg-00010,historical:004517,2026-05-19T22:27:09.150499300+00:00,2026-08-02T16:56:56.060+00:00,2026-08-02T16:56:56.106+00:00,200,True,True,45.999,8.074,7.736,37.925,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.228Z,2026-08-02T16:56:56.236Z,
False,azure-live-20260802T165654Z,msg-00011,historical:004969,2026-05-19T22:55:10.919789700+00:00,2026-08-02T16:56:56.107+00:00,2026-08-02T16:56:56.156+00:00,200,True,True,49.883,8.935,8.588,40.948,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.280Z,2026-08-02T16:56:56.289Z,
False,azure-live-20260802T165654Z,msg-00012,historical:005421,2026-05-19T23:23:16.336412+00:00,2026-08-02T16:56:56.157+00:00,2026-08-02T16:56:56.204+00:00,200,True,True,46.547,8.133,7.674,38.414,552,610,v3.0-azure-live-replay,2026-08-02T16:56:56.327Z,2026-08-02T16:56:56.335Z,
False,azure-live-20260802T165654Z,msg-00013,historical:005872,2026-05-19T23:50:59.018098700+00:00,2026-08-02T16:56:56.205+00:00,2026-08-02T16:56:56.250+00:00,200,True,True,45.675,8.183,7.896,37.492,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.374Z,2026-08-02T16:56:56.382Z,
False,azure-live-20260802T165654Z,msg-00014,historical:006324,2026-05-20T00:19:39.916015400+00:00,2026-08-02T16:56:56.251+00:00,2026-08-02T16:56:56.297+00:00,200,True,True,45.659,7.942,7.673,37.717,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.421Z,2026-08-02T16:56:56.428Z,
False,azure-live-20260802T165654Z,msg-00015,historical:006776,2026-05-20T00:47:26.783646200+00:00,2026-08-02T16:56:56.298+00:00,2026-08-02T16:56:56.349+00:00,200,True,True,51.262,9.371,9.117,41.891,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.467Z,2026-08-02T16:56:56.476Z,
False,azure-live-20260802T165654Z,msg-00016,historical:007228,2026-05-20T01:15:26.704982400+00:00,2026-08-02T16:56:56.350+00:00,2026-08-02T16:56:56.396+00:00,200,True,True,45.603,8.713,8.469,36.89,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.519Z,2026-08-02T16:56:56.528Z,
False,azure-live-20260802T165654Z,msg-00017,historical:007679,2026-05-20T01:43:15.835740800+00:00,2026-08-02T16:56:56.396+00:00,2026-08-02T16:56:56.443+00:00,200,True,True,46.71,9.615,9.37,37.095,555,609,v3.0-azure-live-replay,2026-08-02T16:56:56.565Z,2026-08-02T16:56:56.575Z,
False,azure-live-20260802T165654Z,msg-00018,historical:008131,2026-05-20T02:11:17.095912600+00:00,2026-08-02T16:56:56.444+00:00,2026-08-02T16:56:56.497+00:00,200,True,True,53.241,9.557,9.111,43.684,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.618Z,2026-08-02T16:56:56.628Z,
False,azure-live-20260802T165654Z,msg-00019,historical:008583,2026-05-20T02:39:17.685647500+00:00,2026-08-02T16:56:56.498+00:00,2026-08-02T16:56:56.543+00:00,200,True,True,44.762,7.746,7.507,37.016,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.667Z,2026-08-02T16:56:56.675Z,
False,azure-live-20260802T165654Z,msg-00020,historical:009035,2026-05-20T03:07:24.930051100+00:00,2026-08-02T16:56:56.544+00:00,2026-08-02T16:56:56.593+00:00,200,True,True,48.958,9.889,9.642,39.069,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.713Z,2026-08-02T16:56:56.723Z,
False,azure-live-20260802T165654Z,msg-00021,historical:009486,2026-05-20T03:35:29.811913600+00:00,2026-08-02T16:56:56.595+00:00,2026-08-02T16:56:56.643+00:00,200,True,True,48.434,10.268,10.018,38.166,555,612,v3.0-azure-live-replay,2026-08-02T16:56:56.763Z,2026-08-02T16:56:56.774Z,
False,azure-live-20260802T165654Z,msg-00022,historical:009938,2026-05-20T04:03:25.564460900+00:00,2026-08-02T16:56:56.644+00:00,2026-08-02T16:56:56.695+00:00,200,True,True,51.275,7.354,7.104,43.921,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.812Z,2026-08-02T16:56:56.820Z,
False,azure-live-20260802T165654Z,msg-00023,historical:010390,2026-05-20T04:31:33.065986600+00:00,2026-08-02T16:56:56.696+00:00,2026-08-02T16:56:56.757+00:00,200,True,True,60.748,19.623,19.371,41.125,555,612,v3.0-azure-live-replay,2026-08-02T16:56:56.868Z,2026-08-02T16:56:56.887Z,
False,azure-live-20260802T165654Z,msg-00024,historical:010842,2026-05-20T05:00:00.531180900+00:00,2026-08-02T16:56:56.758+00:00,2026-08-02T16:56:56.813+00:00,200,True,True,54.856,8.746,8.402,46.11,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.927Z,2026-08-02T16:56:56.936Z,
False,azure-live-20260802T165654Z,msg-00025,historical:011293,2026-05-20T05:28:50.516096200+00:00,2026-08-02T16:56:56.814+00:00,2026-08-02T16:56:56.862+00:00,200,True,True,47.445,7.148,6.907,40.297,555,610,v3.0-azure-live-replay,2026-08-02T16:56:56.983Z,2026-08-02T16:56:56.990Z,
False,azure-live-20260802T165654Z,msg-00026,historical:011745,2026-05-20T05:59:05.620582800+00:00,2026-08-02T16:56:56.863+00:00,2026-08-02T16:56:56.917+00:00,200,True,True,54.289,15.181,14.944,39.108,555,612,v3.0-azure-live-replay,2026-08-02T16:56:57.031Z,2026-08-02T16:56:57.046Z,
False,azure-live-20260802T165654Z,msg-00027,historical:012197,2026-05-20T06:27:45.294973500+00:00,2026-08-02T16:56:56.918+00:00,2026-08-02T16:56:56.971+00:00,200,True,True,53.044,16.199,15.96,36.845,555,611,v3.0-azure-live-replay,2026-08-02T16:56:57.087Z,2026-08-02T16:56:57.103Z,
False,azure-live-20260802T165654Z,msg-00028,historical:012649,2026-05-20T06:56:44.083063+00:00,2026-08-02T16:56:56.972+00:00,2026-08-02T16:56:57.019+00:00,200,True,True,47.214,7.303,7.056,39.911,552,610,v3.0-azure-live-replay,2026-08-02T16:56:57.141Z,2026-08-02T16:56:57.149Z,
False,azure-live-20260802T165654Z,msg-00029,historical:013101,2026-05-20T07:25:59.641608300+00:00,2026-08-02T16:56:57.020+00:00,2026-08-02T16:56:57.066+00:00,200,True,True,45.424,7.883,7.643,37.541,555,610,v3.0-azure-live-replay,2026-08-02T16:56:57.189Z,2026-08-02T16:56:57.197Z,
False,azure-live-20260802T165654Z,msg-00030,historical:013552,2026-05-20T07:54:54.640567300+00:00,2026-08-02T16:56:57.084+00:00,2026-08-02T16:56:57.129+00:00,200,True,True,45.38,8.511,8.269,36.869,555,610,v3.0-azure-live-replay,2026-08-02T16:56:57.252Z,2026-08-02T16:56:57.261Z,
False,azure-live-20260802T165654Z,msg-00031,historical:014004,2026-05-20T08:23:14.475420100+00:00,2026-08-02T16:56:57.130+00:00,2026-08-02T16:56:57.176+00:00,200,True,True,46.228,7.588,7.354,38.64,555,610,v3.0-azure-live-replay,2026-08-02T16:56:57.300Z,2026-08-02T16:56:57.307Z,
False,azure-live-20260802T165654Z,msg-00032,historical:014456,2026-05-20T08:51:12.226755100+00:00,2026-08-02T16:56:57.178+00:00,2026-08-02T16:56:57.228+00:00,200,True,True,50.812,12.497,12.153,38.315,555,612,v3.0-azure-live-replay,2026-08-02T16:56:57.347Z,2026-08-02T16:56:57.360Z,
False,azure-live-20260802T165654Z,msg-00033,historical:014908,2026-05-20T09:18:38.799128200+00:00,2026-08-02T16:56:57.230+00:00,2026-08-02T16:56:57.275+00:00,200,True,True,44.894,6.962,6.721,37.932,555,610,v3.0-azure-live-replay,2026-08-02T16:56:57.398Z,2026-08-02T16:56:57.405Z,
False,azure-live-20260802T165654Z,msg-00034,historical:015359,2026-05-20T09:45:56.590489900+00:00,2026-08-02T16:56:57.276+00:00,2026-08-02T16:56:57.322+00:00,200,True,True,46.127,7.843,7.483,38.284,552,610,v3.0-azure-live-replay,2026-08-02T16:56:57.446Z,2026-08-02T16:56:57.453Z,
False,azure-live-20260802T165654Z,msg-00035,historical:015811,2026-05-20T10:13:41.788992700+00:00,2026-08-02T16:56:57.323+00:00,2026-08-02T16:56:57.379+00:00,200,True,True,56.228,18.992,18.746,37.236,552,612,v3.0-azure-live-replay,2026-08-02T16:56:57.491Z,2026-08-02T16:56:57.510Z,
False,azure-live-20260802T165654Z,msg-00036,historical:016263,2026-05-20T10:41:32.711765600+00:00,2026-08-02T16:56:57.380+00:00,2026-08-02T16:56:57.425+00:00,200,True,True,44.814,7.33,7.073,37.484,552,609,v3.0-azure-live-replay,2026-08-02T16:56:57.550Z,2026-08-02T16:56:57.557Z,
False,azure-live-20260802T165654Z,msg-00037,historical:016715,2026-05-20T11:09:54.743735+00:00,2026-08-02T16:56:57.426+00:00,2026-08-02T16:56:57.604+00:00,200,True,True,178.368,140.23,139.985,38.138,552,613,v3.0-azure-live-replay,2026-08-02T16:56:57.595Z,2026-08-02T16:56:57.735Z,
